virtual mem: 13098,	physical mem: 44330,	 value: 12
virtual mem: 62435,	physical mem: 24035,	 value: -8
virtual mem: 48046,	physical mem: 25774,	 value: 46
virtual mem: 63464,	physical mem: 17128,	 value: 0
virtual mem: 12798,	physical mem: 31230,	 value: 12
virtual mem: 51178,	physical mem: 42986,	 value: 49
virtual mem: 8627,	physical mem: 20147,	 value: 108
virtual mem: 27083,	physical mem: 27083,	 value: 114
virtual mem: 47198,	physical mem: 29790,	 value: 46
virtual mem: 44021,	physical mem: 57589,	 value: 0
virtual mem: 32792,	physical mem: 4120,	 value: 0
virtual mem: 43996,	physical mem: 57564,	 value: 0
virtual mem: 41126,	physical mem: 8870,	 value: 40
virtual mem: 64244,	physical mem: 4596,	 value: 0
virtual mem: 37047,	physical mem: 18359,	 value: 45
virtual mem: 60281,	physical mem: 57721,	 value: 0
virtual mem: 52904,	physical mem: 47784,	 value: 0
virtual mem: 7768,	physical mem: 57944,	 value: 0
virtual mem: 55359,	physical mem: 58175,	 value: 15
virtual mem: 3230,	physical mem: 40350,	 value: 3
virtual mem: 44813,	physical mem: 13069,	 value: 0
virtual mem: 4116,	physical mem: 50708,	 value: 0
virtual mem: 65222,	physical mem: 48582,	 value: 63
virtual mem: 28083,	physical mem: 3507,	 value: 108
virtual mem: 60660,	physical mem: 7412,	 value: 0
virtual mem: 39,	physical mem: 58407,	 value: 9
virtual mem: 328,	physical mem: 57160,	 value: 0
virtual mem: 47868,	physical mem: 56572,	 value: 0
virtual mem: 13009,	physical mem: 30417,	 value: 0
